Quel instrument mesure la temperature ?,THERMOMETRE
A quelle temperature l'eau bout-elle ?,100 DEGRES
A quelle temperature l'eau gele-t-elle ?,0 DEGRE
Quel est le symbole de l'oxygene ?,O
Quelle est la formule chimique de l'eau ?,H2O
Combien y a-t-il d'etats de la matiere ?,TROIS
Quel est l'etat de la glace ?,SOLIDE
Quel est l'etat de la vapeur d'eau ?,GAZ
Quelle force nous attire vers le sol ?,GRAVITE
Quelle planete est la plus proche du soleil ?,MERCURE
Quel metal est attire par un aimant ?,FER
Quelle energie nous donne le soleil ?,LUMIERE
Dans quel sens le courant circule-t-il ?,PLUS VERS MOINS
Quel objet fournit l'energie dans un circuit ?,PILE
Quel objet utilise l'energie pour eclairer ?,LAMPE
Si le circuit est ouvert la lampe est comment ?,ETEINTE
Quel liquide est indispensable a la vie ?,EAU
Quelle planete est surnommee la planete rouge ?,MARS
Quel gaz respire-t-on pour vivre ?,DIOXYGENE
Que mesure-t-on avec une balance ?,MASSE
Quelle est l'unite de la tension electrique ?,VOLT
Quelle est l'unite de l'intensite du courant ?,AMPERE
Quelle est l'unite de la resistance ?,OHM
Quel appareil mesure la tension ?,VOLTMETRE
Quel appareil mesure l'intensite ?,AMPEREMETRE
Quel est le symbole chimique du Fer ?,FE
Quel gaz est le plus present dans l'air ?,AZOTE
Quel gaz trouble l'eau de chaux ?,DIOXYDE DE CARBONE
Comment s'appelle le passage de l'etat solide a liquide ?,FUSION
Comment s'appelle le passage de l'etat liquide a solide ?,SOLIDIFICATION
Comment s'appelle le passage de l'etat liquide a gaz ?,VAPORISATION
Quel est le nom scientifique du sel de cuisine ?,CHLORURE DE SODIUM
Quel est le pH de l'eau pure ?,7
Si le pH est inferieur a 7 la solution est comment ?,ACIDE
Si le pH est superieur a 7 la solution est comment ?,BASIQUE
Quelle est la formule de la vitesse ?,DISTANCE DIVISEE PAR TEMPS
Quelle est l'unite de la vitesse sur la route ?,KM/H
Quel materiau laisse passer le courant ?,CONDUCTEUR
Quel materiau ne laisse pas passer le courant ?,ISOLANT
Quel gaz est necessaire pour faire du feu ?,DIOXYGENE
Quelle particule tourne autour du noyau de l'atome ?,ELECTRON
Quelle est la charge electrique d'un electron ?,NEGATIVE
Quelles particules sont dans le noyau de l'atome ?,PROTONS ET NEUTRONS
Comment appelle-t-on un atome qui a perdu un electron ?,ION
Quelle est l'unite de mesure de la force ?,NEWTON
Quel appareil mesure une force ?,DYNAMOMETRE
Quelle est l'unite de l'energie ?,JOULE
Quelle est l'unite de la puissance electrique ?,WATT
Quelle est la vitesse de la lumiere ?,300 000 KM/S
Quelle est la vitesse du son dans l'air ?,340 M/S
Qui a formule la theorie de la relativite ?,EINSTEIN
Qui a decouvert la radioactivite ?,MARIE CURIE
Quel est le symbole de l'Or ?,AU
Quel est le symbole du Carbone ?,C
Quelle energie possede un objet en mouvement ?,CINETIQUE
Comment appelle-t-on deux liquides qui ne se melangent pas ?,NON MISCIBLES
Quel est le metal liquide a temperature ambiante ?,MERCURE
Quelle reaction chimique produit de la chaleur ?,COMBUSTION
Combien de planetes y a-t-il dans le systeme solaire ?,8
Quelle est la formule pour calculer le poids ?,MASSE FOIS G